kab_asal,kab_tujuan,jarak_meter,jarak_km,waktu_detik,waktu_menit
Kabupaten Banyuwangi,Kota Batu,300331.3,300.33,13828.3,230.5
Kabupaten Banyuwangi,Kota Blitar,336333.3,336.33,14999.1,250.0
Kabupaten Banyuwangi,Kota Kediri,371235.1,371.24,16535.5,275.6
Kabupaten Banyuwangi,Kota Madiun,419458.2,419.46,19198.9,320.0
Kabupaten Banyuwangi,Kota Malang,288170.4,288.17,13077.4,218.0
Kabupaten Banyuwangi,Kota Mojokerto,300981.4,300.98,13452.2,224.2
Kabupaten Banyuwangi,Kota Pasuruan,239627.7,239.63,10691.3,178.2
Kabupaten Banyuwangi,Kota Probolinggo,203219.7,203.22,9200.9,153.3
Kabupaten Banyuwangi,Kota Surabaya,302720.1,302.72,13603.1,226.7
Kabupaten Blitar,Kabupaten Bojonegoro,143579.5,143.58,8368.0,139.5
Kabupaten Blitar,Kabupaten Bondowoso,266573.1,266.57,11941.1,199.0
Kabupaten Blitar,Kabupaten Gresik,162535.0,162.53,7752.7,129.2
Kabupaten Blitar,Kabupaten Jember,233502.1,233.5,10183.7,169.7
Kabupaten Blitar,Kabupaten Jombang,89713.3,89.71,4733.5,78.9
Kabupaten Blitar,Kabupaten Kediri,63625.8,63.63,4002.3,66.7
Kabupaten Blitar,Kabupaten Lamongan,159677.9,159.68,8341.6,139.0
Kabupaten Blitar,Kabupaten Lumajang,168658.1,168.66,7387.7,123.1
Kabupaten Blitar,Kabupaten Madiun,152189.5,152.19,6827.4,113.8
Kabupaten Blitar,Kabupaten Magetan,151795.4,151.8,7777.2,129.6
Kabupaten Blitar,Kabupaten Malang,58862.7,58.86,2598.9,43.3
Kabupaten Blitar,Kabupaten Mojokerto,134206.1,134.21,6740.8,112.3
Kabupaten Blitar,Kabupaten Nganjuk,77031.5,77.03,4572.9,76.2
Kabupaten Blitar,Kabupaten Ngawi,140374.4,140.37,8097.4,135.0
Kabupaten Blitar,Kabupaten Pacitan,168627.2,168.63,7432.2,123.9
Kabupaten Blitar,Kabupaten Pamekasan,281038.5,281.04,12529.6,208.8
Kabupaten Blitar,Kabupaten Pasuruan,129889.2,129.89,5987.1,99.8
Kabupaten Blitar,Kabupaten Ponorogo,117427.1,117.43,5166.5,86.1
Kabupaten Blitar,Kabupaten Probolinggo,194113.8,194.11,8847.0,147.4
Kabupaten Blitar,Kabupaten Sampang,247625.7,247.63,11170.0,186.2
Kabupaten Blitar,Kabupaten Sidoarjo,144837.2,144.84,6340.8,105.7
Kabupaten Blitar,Kabupaten Situbondo,266667.8,266.67,12011.0,200.2
Kabupaten Blitar,Kabupaten Sumenep,333662.5,333.66,15075.8,251.3
Kabupaten Blitar,Kabupaten Trenggalek,67539.9,67.54,3032.1,50.5
Kabupaten Blitar,Kabupaten Tuban,172068.8,172.07,8868.0,147.8
Kabupaten Blitar,Kabupaten Tulungagung,36943.8,36.94,1708.1,28.5
Kabupaten Blitar,Kota Batu,95715.7,95.72,4706.3,78.4
Kabupaten Blitar,Kota Blitar,1969.3,1.97,186.8,3.1
Kabupaten Blitar,Kota Kediri,46359.1,46.36,2737.9,45.6
Kabupaten Blitar,Kota Madiun,148206.1,148.21,6581.8,109.7
Kabupaten Blitar,Kota Malang,78844.8,78.84,3541.6,59.0
Kabupaten Blitar,Kota Mojokerto,122331.8,122.33,6165.6,102.8
Kabupaten Blitar,Kota Pasuruan,130182.8,130.18,6063.0,101.0
Kabupaten Blitar,Kota Probolinggo,166531.2,166.53,7644.7,127.4
Kabupaten Blitar,Kota Surabaya,167432.3,167.43,7590.4,126.5
Kabupaten Bojonegoro,Kabupaten Bondowoso,306495.2,306.5,13783.1,229.7
Kabupaten Bojonegoro,Kabupaten Gresik,94094.0,94.09,4081.8,68.0
Kabupaten Bojonegoro,Kabupaten Jember,305098.4,305.1,13446.0,224.1
Kabupaten Bojonegoro,Kabupaten Jombang,88266.2,88.27,4693.3,78.2
Kabupaten Bojonegoro,Kabupaten Kediri,83006.2,83.01,4983.0,83.0
Kabupaten Bojonegoro,Kabupaten Lamongan,66439.7,66.44,2922.0,48.7
Kabupaten Bojonegoro,Kabupaten Lumajang,252027.4,252.03,11162.6,186.0
Kabupaten Bojonegoro,Kabupaten Madiun,106902.6,106.9,5817.8,97.0
Kabupaten Bojonegoro,Kabupaten Magetan,108102.4,108.1,5896.0,98.3
Kabupaten Bojonegoro,Kabupaten Malang,216631.1,216.63,9534.3,158.9
Kabupaten Bojonegoro,Kabupaten Mojokerto,130863.0,130.86,6000.1,100.0
Kabupaten Bojonegoro,Kabupaten Nganjuk,69066.0,69.07,3896.1,64.9
Kabupaten Bojonegoro,Kabupaten Ngawi,72148.3,72.15,3762.5,62.7
Kabupaten Bojonegoro,Kabupaten Pacitan,205452.7,205.45,10861.4,181.0
Kabupaten Bojonegoro,Kabupaten Pamekasan,222338.7,222.34,9835.4,163.9
Kabupaten Bojonegoro,Kabupaten Pasuruan,155054.5,155.05,7015.1,116.9
Kabupaten Bojonegoro,Kabupaten Ponorogo,129290.9,129.29,6678.9,111.3
Kabupaten Bojonegoro,Kabupaten Probolinggo,234768.0,234.77,10501.4,175.0
Kabupaten Bojonegoro,Kabupaten Sampang,188925.9,188.93,8475.8,141.3
Kabupaten Bojonegoro,Kabupaten Sidoarjo,132351.9,132.35,5887.3,98.1
Kabupaten Bojonegoro,Kabupaten Situbondo,310421.4,310.42,13635.2,227.3
Kabupaten Bojonegoro,Kabupaten Sumenep,274962.6,274.96,12381.6,206.4
Kabupaten Bojonegoro,Kabupaten Trenggalek,161070.3,161.07,8535.9,142.3
Kabupaten Bojonegoro,Kabupaten Tuban,47824.7,47.82,2637.6,44.0
Kabupaten Bojonegoro,Kabupaten Tulungagung,128708.7,128.71,7125.3,118.8
Kabupaten Bojonegoro,Kota Batu,165254.0,165.25,8969.5,149.5
Kabupaten Bojonegoro,Kota Blitar,142079.4,142.08,8257.0,137.6
Kabupaten Bojonegoro,Kota Kediri,99151.2,99.15,5758.3,96.0
Kabupaten Bojonegoro,Kota Madiun,100534.8,100.53,5482.4,91.4
Kabupaten Bojonegoro,Kota Malang,198724.7,198.72,8831.3,147.2
Kabupaten Bojonegoro,Kota Mojokerto,101260.6,101.26,5759.0,96.0
Kabupaten Bojonegoro,Kota Pasuruan,170971.8,170.97,7706.4,128.4
Kabupaten Bojonegoro,Kota Probolinggo,207185.3,207.19,9299.1,155.0
Kabupaten Bojonegoro,Kota Surabaya,111809.5,111.81,5045.9,84.1
Kabupaten Bondowoso,Kabupaten Gresik,211393.5,211.39,10077.4,168.0
Kabupaten Bondowoso,Kabupaten Jember,35409.2,35.41,2084.0,34.7
Kabupaten Bondowoso,Kabupaten Jombang,221157.0,221.16,10198.2,170.0
Kabupaten Bondowoso,Kabupaten Kediri,260327.8,260.33,12445.1,207.4
Kabupaten Bondowoso,Kabupaten Lamongan,235409.4,235.41,11042.5,184.0
Kabupaten Bondowoso,Kabupaten Lumajang,99735.7,99.74,4844.3,80.7
Kabupaten Bondowoso,Kabupaten Madiun,319330.2,319.33,15151.4,252.5
Kabupaten Bondowoso,Kabupaten Magetan,336298.3,336.3,16092.1,268.2
Kabupaten Bondowoso,Kabupaten Malang,209457.7,209.46,9491.7,158.2
Kabupaten Bondowoso,Kabupaten Mojokerto,178486.6,178.49,8590.5,143.2
Kabupaten Bondowoso,Kabupaten Nganjuk,260311.4,260.31,12198.1,203.3
Kabupaten Bondowoso,Kabupaten Ngawi,325803.0,325.8,15653.8,260.9
Kabupaten Bondowoso,Kabupaten Pacitan,435315.8,435.32,19355.6,322.6
Kabupaten Bondowoso,Kabupaten Pamekasan,305584.2,305.58,14178.2,236.3
Kabupaten Bondowoso,Kabupaten Pasuruan,146907.5,146.91,7003.9,116.7
Kabupaten Bondowoso,Kabupaten Ponorogo,341718.6,341.72,16012.5,266.9
Kabupaten Bondowoso,Kabupaten Probolinggo,70029.1,70.03,3539.1,59.0
Kabupaten Bondowoso,Kabupaten Sampang,272171.4,272.17,12818.6,213.6
Kabupaten Bondowoso,Kabupaten Sidoarjo,169382.8,169.38,7989.4,133.2
Kabupaten Bondowoso,Kabupaten Situbondo,34766.8,34.77,1971.7,32.9
Kabupaten Bondowoso,Kabupaten Sumenep,358208.1,358.21,16724.4,278.7
Kabupaten Bondowoso,Kabupaten Trenggalek,334228.6,334.23,14955.5,249.3
Kabupaten Bondowoso,Kabupaten Tuban,290221.0,290.22,13383.0,223.1
Kabupaten Bondowoso,Kabupaten Tulungagung,295182.6,295.18,13591.1,226.5
Kabupaten Bondowoso,Kota Batu,192069.8,192.07,9439.8,157.3
Kabupaten Bondowoso,Kota Blitar,267985.8,267.99,12205.9,203.4
Kabupaten Bondowoso,Kota Kediri,264739.4,264.74,12152.6,202.5
Kabupaten Bondowoso,Kota Madiun,312962.4,312.96,14816.0,246.9
Kabupaten Bondowoso,Kota Malang,182592.2,182.59,8822.0,147.0
Kabupaten Bondowoso,Kota Mojokerto,194485.7,194.49,9069.3,151.2
Kabupaten Bondowoso,Kota Pasuruan,131559.2,131.56,6300.3,105.0
Kabupaten Bondowoso,Kota Probolinggo,94155.8,94.16,4653.8,77.6
Kabupaten Bondowoso,Kota Surabaya,191978.0,191.98,9239.0,154.0
Kabupaten Gresik,Kabupaten Jember,215745.8,215.75,9674.4,161.2
Kabupaten Gresik,Kabupaten Jombang,79913.3,79.91,3658.6,61.0
Kabupaten Gresik,Kabupaten Kediri,114172.7,114.17,5496.5,91.6
Kabupaten Gresik,Kabupaten Lamongan,29643.1,29.64,1328.9,22.1
Kabupaten Gresik,Kabupaten Lumajang,162674.8,162.67,7391.0,123.2
Kabupaten Gresik,Kabupaten Madiun,173175.1,173.18,8202.8,136.7
Kabupaten Gresik,Kabupaten Magetan,190143.1,190.14,9143.5,152.4
Kabupaten Gresik,Kabupaten Malang,127278.5,127.28,5762.7,96.0
